,Y
01-01-2013,2141.496089
02-01-2013,1557.635622
03-01-2013,2715.080516
04-01-2013,1313.539985
05-01-2013,777.6212655
06-01-2013,2476.38434
07-01-2013,2640.64329
08-01-2013,2415.598164
09-01-2013,1843.889922
10-01-2013,1946.762266
11-01-2013,2190.809179
12-01-2013,2421.960209
13-01-2013,5287.333637
14-01-2013,4873.038639
15-01-2013,6134.558833
16-01-2013,4659.424503
17-01-2013,3983.967967
18-01-2013,5699.323847
19-01-2013,6003.289149
20-01-2013,5810.219458
21-01-2013,5422.541856
22-01-2013,5585.166299
23-01-2013,5849.125536
24-01-2013,6151.710459
25-01-2013,9203.417872
26-01-2013,8623.919674
27-01-2013,9859.846011
28-01-2013,8293.206948
29-01-2013,7491.616475
30-01-2013,9013.138257
31-01-2013,9285.117609
01-02-2013,9148.345404
02-02-2013,8582.135238
03-02-2013,8788.626135
04-02-2013,9045.22129
05-02-2013,9375.166521
06-02-2013,12368.81374
07-02-2013,11716.06238
08-02-2013,12989.0673
09-02-2013,11395.02455
10-02-2013,10676.02828
11-02-2013,12216.71387
12-02-2013,12579.40421
13-02-2013,12396.39664
14-02-2013,12041.16852
15-02-2013,12356.67656
16-02-2013,12554.11838
17-02-2013,12901.76843
18-02-2013,15781.61382
19-02-2013,15106.70863
20-02-2013,16339.11998
21-02-2013,14705.4483
22-02-2013,14039.55685
23-02-2013,15448.16512
24-02-2013,15628.4015
25-02-2013,15342.48988
26-02-2013,14863.15423
27-02-2013,15165.35882
28-02-2013,15369.0045
01-03-2013,15733.87683
02-03-2013,18507.24647
03-03-2013,17757.61847
04-03-2013,18980.29136
05-03-2013,17364.86478
06-03-2013,16977.88747
07-03-2013,18468.01867
08-03-2013,18756.46145
09-03-2013,18606.62747
10-03-2013,18228.26578
11-03-2013,18481.8649
12-03-2013,18543.55932
13-03-2013,18938.8203
14-03-2013,21818.72285
15-03-2013,21081.84038
16-03-2013,22313.73028
17-03-2013,20751.23955
18-03-2013,20316.20533
19-03-2013,21761.59293
20-03-2013,21861.8297
21-03-2013,21510.96666
22-03-2013,21102.29018
23-03-2013,21404.69073
24-03-2013,21528.01656
25-03-2013,22004.03659
26-03-2013,25033.35289
27-03-2013,24455.42961
28-03-2013,25831.44832
29-03-2013,24554.37792
30-03-2013,24371.79725
31-03-2013,25742.60961
01-04-2013,25772.62393
02-04-2013,25365.07047
03-04-2013,24976.20668
04-04-2013,25299.66706
05-04-2013,25521.25831
06-04-2013,26135.7137
07-04-2013,29183.63441
08-04-2013,28621.21362
09-04-2013,30025.35408
10-04-2013,28766.14627
